Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased,serial
30-Jan,1,1,0,0,0,0,1
31-Jan,0,1,0,0,0,0,2
1-Feb,0,1,0,0,0,0,3
2-Feb,1,2,0,0,0,0,4
3-Feb,1,3,0,0,0,0,5
4-Feb,0,3,0,0,0,0,6
5-Feb,0,3,0,0,0,0,7
6-Feb,0,3,0,0,0,0,8
7-Feb,0,3,0,0,0,0,9
8-Feb,0,3,0,0,0,0,10
9-Feb,0,3,0,0,0,0,11
10-Feb,0,3,0,0,0,0,12
11-Feb,0,3,0,0,0,0,13
12-Feb,0,3,0,0,0,0,14
13-Feb,0,3,1,1,0,0,15
14-Feb,0,3,0,1,0,0,16
15-Feb,0,3,0,1,0,0,17
16-Feb,0,3,1,2,0,0,18
17-Feb,0,3,0,2,0,0,19
18-Feb,0,3,0,2,0,0,20
19-Feb,0,3,0,2,0,0,21
20-Feb,0,3,1,3,0,0,22
21-Feb,0,3,0,3,0,0,23
22-Feb,0,3,0,3,0,0,24
23-Feb,0,3,0,3,0,0,25
24-Feb,0,3,0,3,0,0,26
25-Feb,0,3,0,3,0,0,27
26-Feb,0,3,0,3,0,0,28
27-Feb,0,3,0,3,0,0,29
28-Feb,0,3,0,3,0,0,30
29-Feb,0,3,0,3,0,0,31
1-Mar,0,3,0,3,0,0,32
2-Mar,2,5,0,3,0,0,33
3-Mar,1,6,0,3,0,0,34
4-Mar,22,28,0,3,0,0,35
5-Mar,2,30,0,3,0,0,36
6-Mar,1,31,0,3,0,0,37
7-Mar,3,34,0,3,0,0,38
8-Mar,5,39,0,3,0,0,39
9-Mar,9,48,0,3,0,0,40
10-Mar,15,63,1,4,0,0,41
11-Mar,8,71,0,4,0,0,42
12-Mar,10,81,0,4,1,1,43
13-Mar,10,91,6,10,0,1,44
14-Mar,11,102,0,10,1,2,45
15-Mar,10,112,3,13,0,2,46
16-Mar,14,126,1,14,0,2,47
17-Mar,20,146,1,15,1,3,48
18-Mar,25,171,0,15,0,3,49
19-Mar,27,198,5,20,1,4,50
20-Mar,58,256,3,23,0,4,51
21-Mar,78,334,0,23,0,4,52
22-Mar,69,403,0,23,3,7,53
23-Mar,94,497,2,25,2,9,54
24-Mar,74,571,15,40,1,10,55
25-Mar,86,657,3,43,1,11,56
26-Mar,73,730,7,50,5,16,57
27-Mar,153,883,25,75,3,19,58
28-Mar,136,1019,10,85,5,24,59
29-Mar,120,1139,17,102,3,27,60
30-Mar,187,1326,35,137,14,41,61
31-Mar,309,1635,13,150,6,47,62
1-Apr,424,2059,19,169,6,53,63
2-Apr,486,2545,22,191,16,69,64
3-Apr,560,3105,39,230,14,83,65
4-Apr,579,3684,56,286,13,96,66
5-Apr,609,4293,43,329,22,118,67
6-Apr,484,4777,65,394,16,134,68
7-Apr,573,5350,75,469,27,161,69
8-Apr,565,5915,96,565,20,181,70
9-Apr,813,6728,70,635,46,227,71
10-Apr,871,7599,151,786,22,249,72
11-Apr,854,8453,186,972,41,290,73
12-Apr,758,9211,114,1086,42,332,74
13-Apr,1243,10454,112,1198,27,359,75
14-Apr,1031,11485,167,1365,37,396,76
15-Apr,886,12371,144,1509,27,423,77
16-Apr,1061,13432,258,1767,26,449,78
17-Apr,922,14354,273,2040,38,487,79
18-Apr,1371,15725,426,2466,35,522,80
19-Apr,1580,17305,388,2854,38,560,81
20-Apr,1239,18544,419,3273,33,593,82
21-Apr,1537,20081,703,3976,53,646,83
22-Apr,1292,21373,394,4370,36,682,84
23-Apr,1667,23040,642,5012,40,722,85
24-Apr,1408,24448,484,5496,59,781,86
25-Apr,1835,26283,442,5938,44,825,87
26-Apr,1607,27890,585,6523,56,881,88
27-Apr,1568,29458,580,7103,58,939,89
28-Apr,1902,31360,636,7739,69,1008,90
29-Apr,1705,33065,690,8429,71,1079,91
30-Apr,1801,34866,630,9059,75,1154,92
1-May,2396,37262,962,10021,77,1231,93
2-May,2564,39826,831,10852,92,1323,94
3-May,2952,42778,911,11763,140,1463,95
4-May,3656,46434,1082,12845,103,1566,96
5-May,2971,49405,1295,14140,128,1694,97
6-May,3602,53007,1161,15301,91,1785,98
7-May,3344,56351,1475,16776,104,1889,99
8-May,3339,59690,1111,17887,97,1986,100
9-May,3175,62865,1414,19301,115,2101,101
10-May,4311,67176,1669,20970,112,2213,102
11-May,3592,70768,1579,22549,81,2294,103
12-May,3562,74330,1905,24454,120,2414,104
13-May,3726,78056,1963,26417,137,2551,105
14-May,3991,82047,1594,28011,97,2648,106
15-May,3808,85855,2234,30245,104,2752,107
16-May,4794,90649,4012,34257,120,2872,108
17-May,5049,95698,2538,36795,152,3024,109
18-May,4628,100326,2482,39277,131,3155,110
19-May,6154,106480,3032,42309,146,3301,111
20-May,5720,112200,3113,45422,134,3435,112
21-May,6023,118223,3131,48553,148,3583,113
22-May,6536,124759,3280,51833,142,3725,114
23-May,6667,131424,2576,54409,142,3867,115
24-May,7111,138537,3285,57694,156,4023,116
25-May,6414,144951,3012,60706,150,4173,117
26-May,5907,150858,3585,64291,173,4346,118
27-May,7246,158104,3434,67725,188,4534,119
28-May,7254,165358,3171,70896,176,4710,120
29-May,8138,173496,11735,82631,269,4979,121
30-May,8364,181860,4303,86934,205,5184,122
31-May,8789,190649,4928,91862,222,5406,123
1-Jun,7723,198372,3882,95744,201,5607,124
2-Jun,8812,207187,4531,100275,222,5829,125
3-Jun,9689,216876,3789,104064,259,6088,126
4-Jun,9847,226723,4390,108454,274,6362,127
5-Jun,9472,236195,4770,113224,286,6648,128
6-Jun,10408,246603,5433,118657,297,6945,129
7-Jun,10882,257485,5191,123848,261,7206,130
8-Jun,8536,266021,5171,129019,271,7477,131
9-Jun,9981,276002,5634,134653,272,7749,132
10-Jun,11156,287158,6275,140928,358,8107,133
11-Jun,11135,298293,6044,146972,394,8501,134
12-Jun,11306,309599,7263,154235,388,8889,135
13-Jun,12039,321638,8092,162327,309,9198,136
14-Jun,11405,333043,7358,169685,324,9522,137
15-Jun,10032,343075,10639,180324,396,9918,138
16-Jun,11086,354161,7226,187550,2004,11922,139
17-Jun,13108,367269,6890,194440,341,12263,140
18-Jun,13829,381098,10741,205181,343,12606,141
19-Jun,14740,395838,9029,214210,364,12970,142
20-Jun,15918,411753,13974,228184,308,13278,143
21-Jun,15151,426904,9075,237259,426,13704,144
22-Jun,13560,440464,10879,248138,312,14016,145
23-Jun,15656,456120,10462,258600,468,14484,146
24-Jun,16868,472988,13089,271689,424,14908,147
25-Jun,18205,491193,13983,285672,401,15309,148
26-Jun,18255,509448,10246,295918,381,15690,149
27-Jun,20142,529590,14229,310147,414,16104,150
28-Jun,19610,549200,11631,321778,384,16488,151
29-Jun,18339,567539,13497,335275,417,16905,152
30-Jun,18256,585795,12565,347840,506,17411,153
1-Jul,19429,605224,12064,359904,438,17849,154
2-Jul,21947,627171,19999,379903,378,18227,155
3-Jul,22718,649889,14417,394320,444,18671,156
4-Jul,24018,673907,14746,409066,611,19282,157
5-Jul,23942,697849,15829,424895,421,19703,158
6-Jul,22500,720349,15315,440210,473,20176,159
7-Jul,23147,743496,16836,457046,479,20655,160
8-Jul,25561,769057,19508,476554,492,21147,161
9-Jul,25790,794847,19408,495962,479,21626,162
10-Jul,27762,822609,20289,516251,520,22146,163
11-Jul,27757,850366,19981,536232,543,22689,164
12-Jul,29106,879472,18198,554430,500,23189,165
13-Jul,28178,907650,17683,572113,541,23730,166
14-Jul,29917,937567,20977,593090,587,24317,167
15-Jul,32607,970174,20646,613736,614,24931,168
16-Jul,35468,1005642,22867,636603,680,25611,169
17-Jul,34820,1040462,17476,654079,676,26287,170
18-Jul,37411,1077873,23583,677662,543,26830,171
19-Jul,40235,1118108,22730,700392,675,27505,172
20-Jul,36806,1154914,24303,724695,596,28101,173
21-Jul,39170,1194084,27589,752284,671,28772,174
22-Jul,45601,1239685,31875,784159,1130,29902,175
23-Jul,48443,1288128,33326,817485,755,30657,176
24-Jul,48888,1337016,32514,849999,763,31420,177
25-Jul,50072,1387088,37125,887124,703,32123,178
26-Jul,48932,1436020,31512,918636,704,32827,179
27-Jul,46484,1482504,34354,952990,642,33469,180
28-Jul,49631,1532135,35683,988673,774,34243,181
29-Jul,52479,1584614,32886,1021559,775,35018,182
30-Jul,54968,1639582,37425,1058984,784,35802,183
31-Jul,57486,1697068,36554,1095538,764,36566,184
1-Aug,54865,1751933,51232,1146770,852,37418,185
